"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6960","Verifica se os elementos estão visíveis na tela","","Mon Feb 03 20:27:15 BRT 2025","passed","Mon Feb 03 20:27:22 BRT 2025","","Home","",""
"","14007","Verifica cadastro com dados válidos","","Mon Feb 03 20:23:53 BRT 2025","passed","Mon Feb 03 20:24:07 BRT 2025","","Cadastro","",""
"","7592","Verifica login com a senha inválida","","Mon Feb 03 20:28:34 BRT 2025","passed","Mon Feb 03 20:28:41 BRT 2025","","Login inválido","",""
"","11257","Verifica cadastro com senhas diferentes","","Mon Feb 03 20:23:15 BRT 2025","passed","Mon Feb 03 20:23:26 BRT 2025","","Cadastro","",""
"","4411","Verifica navegação para WebView, e se os elementos estão presentes.","","Mon Feb 03 20:29:44 BRT 2025","passed","Mon Feb 03 20:29:49 BRT 2025","","WebView","",""
"","5086","Verifica o comportamento do input para digitar algo e valida o resultado  ","","Mon Feb 03 20:25:59 BRT 2025","passed","Mon Feb 03 20:26:04 BRT 2025","","forms","",""
"","6295","Valida o comportamento do botão que altera para ON e OFF  ","","Mon Feb 03 20:25:27 BRT 2025","passed","Mon Feb 03 20:25:34 BRT 2025","","forms","",""
"","9528","Valida se todas opções do campo de dropdown estão presentes, e se é possivel selecionar uma.","","Mon Feb 03 20:26:29 BRT 2025","passed","Mon Feb 03 20:26:38 BRT 2025","","forms","",""
"","3539","Verifica o click no botão e a mensagem exposta  ","","Mon Feb 03 20:24:33 BRT 2025","passed","Mon Feb 03 20:24:37 BRT 2025","","forms","",""
"","22111","Verifica login com o email inválido","","Mon Feb 03 20:27:48 BRT 2025","passed","Mon Feb 03 20:28:10 BRT 2025","","Login inválido","",""
"","4713","Verifica se o botão inactive existe e está visivel.","","Mon Feb 03 20:24:58 BRT 2025","passed","Mon Feb 03 20:25:02 BRT 2025","","forms","",""
"","9490","Verifica login com sucesso","","Mon Feb 03 20:29:09 BRT 2025","passed","Mon Feb 03 20:29:19 BRT 2025","","Login válido","",""
